frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,1.0,-60,0X1C450,115792,True,0.26
950,1.0,-60,0X1C45C,115804,True,0.15
950,1.0,-60,0X1C468,115816,True,0.03
950,1.0,-60,0X1C474,115828,True,-0.02
950,1.0,-60,0X1C480,115840,True,-0.13
950,1.0,-60,0X1C48C,115852,True,-0.24
950,1.0,-60,0X1C498,115864,True,-0.29
950,1.0,-60,0X1C4A4,115876,True,-0.39
950,1.0,-60,0X1C4B0,115888,True,-0.52
950,1.0,-60,0X1C4BC,115900,True,-0.53
950,1.0,-60,0X1C4C8,115912,True,-0.7
950,1.0,-60,0X1C4D4,115924,True,-0.74
950,1.0,-60,0X1C4E0,115936,True,-0.87
950,1.0,-60,0X1C4EC,115948,True,-0.92
950,1.0,-60,0X1C4F8,115960,True,-1.06
950,1.0,-60,0X1C504,115972,True,-1.07
950,1.0,-60,0X1C510,115984,True,-1.17
950,1.0,-60,0X1C51C,115996,True,-1.28
950,1.0,-60,0X1C528,116008,True,-1.41
950,1.0,-60,0X1C534,116020,True,-1.46
950,1.0,-60,0X1C540,116032,True,-1.55
950,1.0,-60,0X1C54C,116044,True,-1.61
950,1.0,-60,0X1C558,116056,True,-1.7
950,1.0,-60,0X1C564,116068,True,-1.77
950,1.0,-60,0X1C570,116080,True,-1.86
950,1.0,-60,0X1C57C,116092,True,-1.89
950,1.0,-60,0X1C588,116104,True,-1.99
950,1.0,-60,0X1C594,116116,True,-2.1
950,1,-30,0X1C000,114688,True,37.32
950,1,-30,0X1C008,114696,True,36.76
950,1,-30,0X1C010,114704,True,35.05
950,1,-30,0X1C018,114712,True,32.97
950,1,-30,0X1C020,114720,True,31.09
950,1,-30,0X1C028,114728,True,29.51
950,1,-30,0X1C030,114736,True,28.1
950,1,-30,0X1C038,114744,True,26.93
950,1,-30,0X1C040,114752,True,25.82
950,1,-30,0X1C048,114760,True,24.83
950,1,-30,0X1C050,114768,True,23.91
950,1,-30,0X1C058,114776,True,23.14
950,1,-30,0X1C060,114784,True,22.47
950,1,-30,0X1C068,114792,True,21.78
950,1,-30,0X1C070,114800,True,21.13
950,1,-30,0X1C078,114808,True,20.51
950,1,-30,0X1C080,114816,True,20.01
950,1,-30,0X1C088,114824,True,19.44
950,1,-30,0X1C090,114832,True,18.97
950,1,-30,0X1C098,114840,True,18.5
950,1,-30,0X1C0A0,114848,True,18.08
950,1,-30,0X1C0A8,114856,True,17.7
